Timestamp,1) Javascript,2) Wordpress,3) Technical product management,4) Financial accounting,5) Application development,6) System security,7) Digital marketing,8) Microsoft excel,9) Regulations and compliance,10) Market analysis,11) Swift programming,12) People management,13) Network architecture,14) Theoretical computer science,15) Bayesian network,16) Negotiation,17) People analysis,18) Search engine optimization,19) Sap,20) machine learning software,21) User experience,22) Database application,23) Angular,24) Basic descriptive statistics,25) Jira,26) Spatial analysis,27) Interactive design,28) Strategy and operations,29) Big data,30) Python programming,31) Media strategy & planning,32) Financial analysis,33) Human learning,34) Google app engine,35) Writing,36) Android development,37) Software testing,38) Risk management,39) Game theory,40) Web development,41) Supply chain and logistics,42) User experience design,43) Agile software development,44) Internet of things,45) Power bi
11/26/2025 13:58:11,4,6,5,8,6,2,10,8,10,5,5,8,3,4,9,10,7,8,6,5,7,4,8,9,3,5,7,5,7,7,5,9,2,5,3,4,6,9,10,4,5,6,3,7,3
11/26/2025 14:02:25,7,3,5,7,6,4,8,9,4,10,2,7,8,8,7,6,8,8,3,7,5,8,1,7,1,7,7,7,7,9,7,8,5,4,8,1,8,8,1,7,7,6,5,7,7
11/26/2025 14:03:51,7,1,6,1,3,6,8,6,1,1,1,10,2,5,1,1,1,10,1,2,10,7,1,1,5,1,10,10,2,4,1,1,1,10,1,1,5,10,1,10,1,10,10,10,1
11/26/2025 14:08:38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/26/2025 14:09:54,4,5,7,6,5,6,8,10,10,8,8,9,7,6,5,9,10,6,5,7,7,10,7,6,4,5,6,9,10,10,10,10,10,8,10,6,6,8,6,6,7,7,5,5,5
11/26/2025 14:11:54,7,5,4,5,5,4,6,5,3,7,2,5,4,8,2,6,6,5,1,7,8,8,3,3,1,2,7,6,7,7,6,6,6,2,6,5,7,6,3,8,3,6,5,2,1
11/26/2025 14:23:43,6,1,8,8,6,9,5,10,5,6,4,8,10,10,5,5,4,7,1,1,1,9,1,5,8,1,6,5,8,5,6,8,8,5,8,7,5,8,1,7,1,8,7,6,7
11/26/2025 14:24:54,6,7,9,8,2,2,3,4,4,4,1,7,8,7,7,7,8,5,5,6,5,5,1,1,1,1,5,5,8,7,6,6,6,4,6,6,5,6,6,6,6,7,1,5,5
11/26/2025 14:28:23,4,8,7,7,5,4,8,5,3,7,2,5,4,4,4,4,6,8,2,3,8,6,4,4,2,5,5,7,7,6,10,7,6,6,8,5,7,8,3,6,4,6,10,7,5
11/26/2025 14:32:31,1,1,1,1,1,1,1,4,1,1,1,9,3,8,1,1,7,4,1,10,7,6,1,2,1,1,1,7,1,1,5,2,5,5,6,1,8,4,1,6,3,6,3,5,1
11/26/2025 14:35:33,2,1,8,6,8,2,1,4,9,1,1,4,5,2,8,5,8,8,1,5,9,9,1,6,1,7,3,5,6,7,1,6,8,1,8,9,6,10,1,5,1,4,1,5,1
11/26/2025 14:37:11,8,10,6,7,7,5,4,9,7,6,2,8,6,6,3,6,9,9,3,5,10,7,3,5,3,3,9,10,6,7,10,10,10,6,10,1,10,10,2,10,3,10,6,10,1
11/26/2025 14:38:12,2,5,9,10,1,1,6,5,7,6,1,6,5,5,3,3,7,7,7,7,8,5,1,6,8,6,7,8,7,4,7,7,7,8,10,1,6,8,1,3,5,7,6,4,4
11/26/2025 14:49:23,7,6,10,10,9,10,8,3,4,9,4,8,8,7,4,5,6,5,9,9,9,8,2,3,5,4,6,5,6,8,8,5,4,5,5,10,9,9,1,6,6,7,8,5,1
11/26/2025 14:52:53,3,1,6,4,8,7,4,6,7,8,1,9,5,6,1,8,9,3,4,5,6,7,1,7,1,5,5,9,3,7,4,5,7,1,5,1,7,7,6,5,3,6,5,1,1
11/26/2025 15:13:50,8,2,6,9,10,5,7,9,9,9,7,5,7,6,4,5,3,8,10,5,6,4,6,8,8,8,9,6,7,7,9,7,10,10,8,3,7,7,9,8,5,9,7,6,8
11/26/2025 16:19:18,5,1,1,1,1,1,3,3,1,3,1,2,1,1,1,4,4,3,1,1,3,1,1,1,1,1,5,1,1,2,5,1,1,2,5,1,1,1,1,10,1,5,1,1,5
11/26/2025 16:20:54,2,1,1,1,2,3,1,3,1,1,1,3,6,5,1,6,5,1,1,2,3,2,1,2,1,1,4,3,1,7,2,1,3,2,7,5,3,2,1,4,1,2,6,1,1
11/26/2025 16:32:17,7,1,1,6,7,1,3,5,1,4,1,5,1,1,1,4,6,1,1,6,1,6,1,4,1,1,1,3,5,9,5,4,4,1,10,2,1,3,7,3,1,1,1,10,1
11/26/2025 17:05:01,5,1,6,1,3,4,4,6,2,2,1,2,1,7,1,3,2,2,1,9,7,7,1,9,4,7,1,1,5,9,1,1,1,1,8,2,6,1,5,6,1,7,7,1,1
11/26/2025 17:44:24,10,6,10,10,10,10,10,10,10,10,6,10,8,6,5,8,10,6,7,9,6,10,7,4,2,1,5,4,3,10,10,10,10,10,10,10,7,5,7,7,7,5,4,9,9
11/26/2025 17:58:27,3,1,5,6,3,4,2,3,5,4,1,10,10,10,5,10,10,10,10,10,10,10,1,10,1,1,10,10,10,10,5,10,10,3,10,5,7,10,10,5,7,10,8,10,6
11/26/2025 18:03:16,5,2,5,1,7,6,5,9,7,7,6,4,6,8,7,8,9,6,4,5,4,9,3,5,4,4,5,6,7,10,7,5,6,5,9,10,9,9,8,5,7,8,7,7,4
11/26/2025 18:17:12,1,1,3,3,2,3,3,8,5,4,1,7,1,8,1,10,9,1,1,3,3,7,1,1,1,1,1,4,3,5,6,4,7,3,7,1,1,1,1,3,3,3,2,1,1
11/26/2025 18:21:45,5,9,10,5,10,9,7,4,10,7,2,10,10,10,6,10,8,10,6,9,8,10,3,6,7,10,10,10,10,10,4,4,10,9,7,8,10,10,10,10,2,8,10,10,1
11/26/2025 18:23:56,7,2,7,4,2,6,5,8,6,7,9,5,4,8,3,6,7,2,3,7,9,9,3,10,7,4,9,7,5,9,5,4,8,6,9,5,8,7,6,10,6,7,5,6,5
11/26/2025 19:47:42,8,2,9,5,9,9,5,6,6,6,1,7,8,6,1,7,1,7,1,7,8,9,2,7,7,1,1,6,1,3,1,3,3,1,4,7,9,6,1,10,1,7,4,1,1
11/26/2025 20:07:45,6,1,4,7,5,2,7,6,3,5,5,7,1,7,1,7,10,3,2,4,8,5,1,6,1,2,5,2,3,6,6,3,7,3,6,1,2,7,1,7,4,7,1,1,1
11/26/2025 22:38:39,2,2,4,4,8,7,5,5,5,6,2,5,5,5,5,8,6,7,3,5,5,8,3,4,2,3,4,5,4,7,6,5,5,7,8,8,8,7,7,8,6,6,6,4,3
11/27/2025 12:05:40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10
11/27/2025 12:21:54,4,4,5,6,6,4,4,3,4,4,5,5,5,5,5,6,7,7,6,8,6,7,5,6,3,4,3,4,6,8,4,6,7,3,7,3,4,3,7,7,4,3,7,7,7
11/27/2025 14:13:12,1,1,1,1,1,1,6,5,5,5,4,8,1,1,1,9,10,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,1,4,1,1,1,1
11/27/2025 19:30:53,7,5,6,6,6,7,7,6,7,7,5,8,7,7,7,6,7,7,6,7,8,5,6,4,8,8,7,6,7,7,7,7,7,5,5,8,7,8,8,7,7,7,6,7,7
11/27/2025 20:25:23,8,1,3,7,5,5,5,8,4,5,4,5,5,4,3,4,5,6,3,5,7,9,5,4,2,5,4,6,5,10,4,7,3,7,10,5,8,5,6,9,5,5,5,5,5
11/28/2025 8:21:24,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/28/2025 10:09:48,3,1,6,1,8,1,1,1,8,1,1,1,3,2,2,3,1,4,4,5,5,8,1,3,1,1,1,1,2,9,1,1,1,1,9,8,8,7,3,4,1,1,5,8,1
11/28/2025 21:39:50,4,1,10,7,10,2,10,10,5,10,1,10,10,10,1,10,10,10,1,8,10,10,1,6,1,1,5,10,5,8,10,10,10,10,10,2,6,10,3,1,4,7,1,8,1
11/30/2025 20:47:08,10,6,7,7,7,5,5,9,7,5,1,5,4,5,6,5,6,6,6,4,6,10,2,7,5,6,6,6,6,4,6,5,5,6,6,7,7,7,6,10,7,8,7,7,6
11/30/2025 20:52:56,1,5,5,5,1,2,10,10,10,10,1,7,1,1,1,6,6,1,5,1,1,1,1,4,1,1,3,4,1,1,5,1,1,4,5,1,1,6,3,1,4,1,1,5,1
11/30/2025 20:53:52,1,1,1,1,1,3,2,5,1,1,1,10,1,1,1,1,10,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,4,1,1,1
11/30/2025 20:59:32,3,1,3,1,3,3,2,10,1,5,1,6,1,5,1,10,9,1,1,4,6,3,1,1,1,1,6,6,4,5,5,7,1,1,1,1,1,10,1,1,1,5,1,1,1
11/30/2025 21:03:27,10,7,1,1,1,5,3,7,8,3,1,6,2,5,1,10,10,1,10,4,10,7,1,1,1,1,6,1,1,7,1,6,5,4,5,1,5,6,1,7,4,6,3,10,1
11/30/2025 21:05:05,6,2,6,4,7,4,4,2,4,5,1,3,7,7,2,4,3,7,3,6,5,9,1,4,1,2,2,2,5,3,8,4,4,7,8,8,9,3,2,10,2,8,4,5,5
11/30/2025 21:15:09,10,10,10,2,1,7,7,7,6,6,1,10,3,2,1,1,9,10,1,4,10,10,1,3,10,1,10,10,5,10,6,1,4,10,5,1,10,10,3,10,10,10,10,10,1
11/30/2025 21:19:04,2,10,5,1,5,1,5,8,6,5,1,10,2,6,1,1,10,10,10,4,10,10,1,1,1,1,10,10,3,5,1,5,5,10,8,1,6,6,1,10,10,10,1,1,10
11/30/2025 21:24:28,10,7,5,1,10,10,10,10,4,8,10,7,6,10,1,10,10,10,10,5,10,10,8,10,3,10,10,10,10,10,10,10,5,10,7,10,10,10,6,10,6,10,10,10,5
11/30/2025 21:28:02,10,5,8,7,7,5,6,10,9,8,1,10,3,3,5,4,10,10,3,4,10,10,1,1,1,3,10,10,3,10,4,7,3,10,6,7,10,8,10,8,6,6,10,8,10
11/30/2025 21:31:12,4,10,5,8,3,10,6,10,10,10,4,10,5,7,6,4,8,1,1,1,10,10,1,1,1,1,8,8,1,6,7,6,5,10,6,1,10,10,1,10,1,7,5,10,1
11/30/2025 21:44:13,5,2,10,5,4,7,10,6,10,5,1,6,4,10,3,10,3,10,5,4,3,10,1,5,1,1,4,3,2,1,4,4,3,4,6,1,5,1,1,10,5,10,1,1,1
11/30/2025 22:00:18,1,10,10,4,3,10,1,10,10,1,1,10,3,10,2,2,10,10,1,2,10,10,1,1,1,10,10,10,10,3,10,10,10,2,10,10,2,10,2,10,4,10,5,2,2
11/30/2025 22:03:42,10,10,10,5,10,6,8,10,10,10,1,9,9,10,1,1,6,10,2,3,10,10,10,1,1,1,1,10,10,1,10,5,8,10,4,10,5,10,3,10,1,10,6,6,1
11/30/2025 22:05:50,10,10,10,8,10,10,7,10,10,7,5,2,1,5,1,1,1,10,10,4,2,10,4,10,10,7,10,10,10,4,4,10,10,10,10,5,10,10,3,10,4,4,9,4,10
11/30/2025 22:07:56,1,1,1,1,1,1,2,5,1,1,1,1,1,3,1,1,4,1,1,2,5,6,1,1,1,1,4,1,2,2,1,1,1,1,4,1,5,4,3,3,1,1,1,1,3
11/30/2025 22:11:19,1,1,7,5,8,6,6,8,6,6,3,3,5,3,3,9,1,1,1,3,2,10,2,2,1,3,1,2,3,2,2,1,1,9,3,2,1,10,10,1,1,7,1,5,1
11/30/2025 22:12:52,1,1,5,2,2,2,4,2,2,2,1,1,4,1,10,10,1,10,10,10,10,10,10,10,10,5,10,10,10,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,4
11/30/2025 22:14:01,10,10,10,1,10,10,10,10,10,10,10,10,1,10,1,1,10,10,10,6,10,10,10,10,5,10,10,10,10,1,1,1,10,10,10,10,10,10,1,10,10,10,10,7,6
11/30/2025 22:31:04,5,3,10,6,3,4,4,10,2,1,1,10,10,5,1,1,1,10,1,1,10,10,5,10,1,6,10,4,4,3,10,2,6,10,10,10,4,10,3,3,4,10,3,10,1
11/30/2025 22:32:25,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,10,1,1,3,7,1,1,1,1,1,1,1,1,2,1,1,10,3,1,1,1,10,1,1,3,1,1,1
11/30/2025 22:34:57,5,1,10,1,7,7,2,8,10,3,1,10,9,5,6,1,10,10,1,6,5,10,4,6,6,1,9,10,9,8,2,6,8,10,8,1,9,1,1,1,6,7,10,10,1
11/30/2025 22:37:16,6,1,1,1,1,1,1,8,1,1,1,6,7,6,1,5,10,5,1,8,7,10,1,1,4,2,7,10,8,5,1,3,7,10,10,1,1,5,1,2,1,6,3,1,1
11/30/2025 22:41:03,3,1,3,1,1,5,1,4,1,1,1,1,3,5,1,1,5,1,1,3,4,10,1,1,1,1,6,3,1,6,1,2,1,10,8,1,8,1,1,4,1,6,4,1,1
11/30/2025 22:42:05,2,1,1,1,1,2,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,10,6,1,4,1,1,2,1,1,1,1,1
11/30/2025 22:43:20,1,1,1,2,1,4,4,4,1,1,1,5,3,2,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,3,1,1,1,10,1,1,2,1,10,1,1,6,3,10,1
11/30/2025 22:45:28,4,9,5,3,2,4,1,7,5,7,1,9,3,6,3,1,8,4,1,3,6,1,1,2,2,1,1,1,1,2,1,1,1,10,3,1,6,2,1,5,1,5,1,4,1
11/30/2025 22:48:18,1,1,4,2,5,6,3,7,1,5,1,4,3,7,1,3,3,4,3,4,3,8,1,2,1,1,1,4,1,6,3,1,4,10,7,1,5,1,1,2,1,4,4,1,1
11/30/2025 22:52:07,6,1,5,5,8,4,3,4,8,5,2,6,6,3,4,6,3,3,2,7,9,8,2,8,5,5,6,3,5,9,9,7,10,5,8,6,8,6,7,9,9,6,7,7,7
11/30/2025 22:52:52,5,5,5,6,7,8,7,6,9,10,3,10,10,10,9,8,7,5,5,3,6,2,4,4,9,9,7,4,2,10,10,10,6,7,6,3,1,5,3,6,8,6,6,7,10
11/30/2025 23:08:14,1,5,4,4,6,4,6,6,3,7,1,9,6,4,1,10,10,4,1,4,10,9,1,9,4,1,7,9,5,7,9,5,10,6,9,3,7,9,10,5,3,10,4,6,6
11/30/2025 23:08:38,3,4,3,2,5,3,2,7,3,2,1,6,5,3,2,2,9,9,1,7,5,5,4,4,3,2,6,3,6,9,6,3,9,8,9,7,8,6,4,9,5,4,4,6,2
11/30/2025 23:11:45,2,2,2,4,6,4,4,2,4,6,2,8,4,6,1,8,9,4,1,3,7,4,1,8,1,1,7,7,1,4,2,7,8,1,7,1,5,3,5,4,4,8,3,1,1
11/30/2025 23:23:13,4,1,6,8,1,2,2,3,1,2,2,9,2,5,1,6,8,2,1,9,4,6,1,3,1,1,1,1,6,9,3,7,6,5,5,2,3,8,2,7,1,7,8,2,5
11/30/2025 23:30:07,6,7,7,10,9,4,4,6,9,8,6,6,10,10,10,8,10,10,10,8,9,8,7,7,9,5,7,10,7,8,8,3,5,9,7,3,4,3,8,9,10,8,6,6,9
11/30/2025 23:30:36,4,7,3,1,1,1,1,3,1,1,1,3,1,2,1,1,3,1,1,1,6,7,1,1,1,1,3,1,1,2,1,1,1,10,3,1,1,3,1,2,1,2,1,1,1
11/30/2025 23:32:26,1,1,1,1,4,2,3,5,4,4,2,4,5,8,3,1,5,4,2,4,2,2,4,5,5,4,3,2,1,7,3,4,3,4,3,6,4,5,5,2,4,4,3,6,1
11/30/2025 23:34:47,6,10,10,5,1,5,10,10,10,10,1,7,4,10,4,10,10,10,10,4,10,8,4,5,10,5,10,10,3,1,6,1,6,10,10,1,8,8,6,10,4,10,1,10,1
