course_title,rating,review_count,skills_list,platform,level,duration
Google Cybersecurity,4.8,16400.0,"['Network Security', 'Python Programming', 'Linux', 'Cloud Computing', 'Algorithms', 'Audit', 'Computer Programming', 'Computer Security Incident Management', 'Cryptography', 'Databases', 'Leadership and Management', 'Network Architecture', 'Risk Management', 'SQL']",coursera,1,78.21
Google Data Analytics,4.8,133400.0,"['Data Analysis', 'R Programming', 'SQL', 'Business Communication', 'Spreadsheet Software', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Big Data', 'Communication', 'Computer Programming', 'Data Science', 'Data Visualization Software', 'Databases', 'Exploratory Data Analysis', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Microsoft Excel', 'Problem Solving', 'Small Data', 'Statistical Programming', 'Tableau Software']",coursera,1,78.21
Google Project Management:,4.8,97300.0,"['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Communication', 'Business Communication', 'Collaboration', 'Agile Software Development', 'Software Engineering', 'Entrepreneurship', 'Scrum (Software Development)', 'Planning', 'Supply Chain and Logistics', 'Change Management', 'Finance', 'Organizational Development', 'Product Management', 'Risk Management', 'Budget Management', 'Influencing', 'Culture', 'Emotional Intelligence', 'People Management', 'Problem Solving', 'Procurement']",coursera,1,78.21
Google Digital Marketing & E-commerce,4.8,21400.0,"['Digital Marketing', 'Marketing', 'Marketing Management', 'Media Strategy & Planning', 'Sales', 'E-Commerce', 'Data Analysis', 'Social Media', 'Search Engine Optimization', 'Advertising', 'Communication', 'Persona Research', 'Strategy', 'Web Design', 'Web Development', 'Web Development Tools', 'Writing', 'Data Management', 'Market Analysis']",coursera,1,78.21
Google IT Support,4.8,181400.0,"['Computer Networking', 'Network Architecture', 'Network Model', 'Networking Hardware', 'Network Analysis', 'Computer Architecture', 'Critical Thinking', 'Problem Solving', 'Communication', 'Human Computer Interaction', 'Network Security', 'Linux', 'System Security', 'Cloud Computing', 'Computer Programming', 'Customer Support', 'Cryptography', 'Leadership and Management', 'Operating Systems']",coursera,1,78.21
IBM Data Science,4.6,118900.0,"['Python Programming', 'Data Science', 'Machine Learning', 'Data Analysis', 'Data Visualization', 'Algorithms', 'Human Learning', 'Statistical Programming', 'Decision Making', 'Machine Learning Algorithms', 'Statistical Machine Learning', 'Statistical Visualization', 'Computational Thinking', 'Computer Programming', 'Data Management', 'Data Mining', 'Database Design', 'Exploratory Data Analysis', 'Plot (Graphics)', 'Applied Machine Learning', 'Customer Analysis', 'R Programming', 'Data Model', 'Database Application', 'Database Theory', 'Databases', 'Deep Learning', 'SQL', 'General Statistics', 'Probability & Statistics', 'Regression', 'Reinforcement Learning', 'Big Data', 'Cloud Computing', 'IBM Cloud', 'Writing']",coursera,1,78.21
Google UX Design,4.8,73700.0,"['User Experience', 'User Experience Design', 'User Research', 'Audit', 'Collaboration', 'Human Computer Interaction', 'Planning', 'Product Design', 'Product Development', 'Social Media', 'Web Design', 'Web Development Tools']",coursera,1,78.21
IBM Data Analyst,4.6,71500.0,"['Python Programming', 'Data Visualization', 'Microsoft Excel', 'Spreadsheet Software', 'Data Analysis', 'Statistical Visualization', 'Plot (Graphics)', 'Statistical Programming', 'Databases', 'SQL', 'Data Management', 'Exploratory Data Analysis', 'Machine Learning', 'Business Analysis', 'Computational Thinking', 'Computer Programming', 'Database Application', 'Database Design', 'Database Theory', 'Data Mining', 'Data Science', 'General Statistics', 'NoSQL', 'R Programming', 'Cloud Computing', 'Data Visualization Software', 'IBM Cloud', 'Interactive Data Visualization', 'Machine Learning Algorithms', 'Probability & Statistics', 'Regression']",coursera,1,78.21
Machine Learning,4.9,17700.0,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Algorithms', 'Deep Learning', 'Machine Learning Software', 'Artificial Neural Networks', 'Human Learning', 'Statistical Machine Learning', 'Python Programming', 'Regression', 'Mathematics', 'Tensorflow', 'Critical Thinking', 'Network Model', 'Reinforcement Learning']",coursera,1,34.76
Introduction to Data Science,4.6,85000.0,"['Data Science', 'Python Programming', 'Data Analysis', 'Data Management', 'R Programming', 'Computational Thinking', 'Computer Programming', 'Data Mining', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Data Model', 'Machine Learning', 'Statistical Machine Learning', 'Big Data', 'Cloud Computing', 'Deep Learning', 'IBM Cloud', 'Regression', 'Writing']",coursera,1,78.21
