course_title,rating,review_count,skills_list,platform,level,duration,skills_text,internet of things,microsoft excel,python programming,securities trading,google app engine,microsoft azure,javascript,java programming,basic descriptive statistics,database application,financial analysis,financial accounting,financial management,c programming language family,cloud api,sql,power bi,natural language processing,html and css,react,game theory,google cloud platform,software testing,application development,website
Google Cybersecurity,4.8,16400.0,"['databases', 'network architecture', 'risk management', 'computer security incident management', 'audit', 'network security', 'sql', 'computer programming', 'cryptography', 'linux', 'python programming', 'algorithms', 'cloud computing', 'leadership and management']",coursera,1,78.21,databases | network architecture | risk management | computer security incident management | audit | network security | sql | computer programming | cryptography | linux | python programming | algorithms | cloud computing | leadership and management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Google Data Analytics,4.8,133400.0,"['data visualization software', 'small data', 'big data', 'databases', 'transform', 'load', 'sql', 'microsoft excel', 'problem solving', 'exploratory data analysis', 'tableau software', 'business communication', 'data analysis', 'business analysis', 'extract', 'spreadsheet software', 'general statistics', 'r programming', 'communication', 'data science', 'computer programming', 'data visualization', 'data management', 'leadership and management', 'statistical programming']",coursera,1,78.21,data visualization software | small data | big data | databases | transform | load | sql | microsoft excel | problem solving | exploratory data analysis | tableau software | business communication | data analysis | business analysis | extract | spreadsheet software | general statistics | r programming | communication | data science | computer programming | data visualization | data management | leadership and management | statistical programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Google Project Management:,4.8,97300.0,"['risk management', 'influencing', 'change management', 'collaboration', 'planning', 'emotional intelligence', 'budget management', 'problem solving', 'finance', 'business communication', 'procurement', 'software engineering', 'culture', 'project management', 'strategy and operations', 'organizational development', 'product management', 'scrum (software development)', 'entrepreneurship', 'agile software development', 'communication', 'people management', 'supply chain and logistics', 'leadership and management']",coursera,1,78.21,risk management | influencing | change management | collaboration | planning | emotional intelligence | budget management | problem solving | finance | business communication | procurement | software engineering | culture | project management | strategy and operations | organizational development | product management | scrum (software development) | entrepreneurship | agile software development | communication | people management | supply chain and logistics | leadership and management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Digital Marketing & E-commerce,4.8,21400.0,"['social media', 'media strategy & planning', 'web development', 'web design', 'writing', 'marketing management', 'search engine optimization', 'advertising', 'digital marketing', 'data analysis', 'persona research', 'sales', 'marketing', 'e-commerce', 'communication', 'web development tools', 'strategy', 'data management', 'market analysis']",coursera,1,78.21,social media | media strategy & planning | web development | web design | writing | marketing management | search engine optimization | advertising | digital marketing | data analysis | persona research | sales | marketing | e-commerce | communication | web development tools | strategy | data management | market analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google IT Support,4.8,181400.0,"['network security', 'network analysis', 'cloud computing', 'critical thinking', 'linux', 'system security', 'customer support', 'problem solving', 'network model', 'network architecture', 'human computer interaction', 'networking hardware', 'operating systems', 'computer networking', 'communication', 'computer architecture', 'computer programming', 'cryptography', 'leadership and management']",coursera,1,78.21,network security | network analysis | cloud computing | critical thinking | linux | system security | customer support | problem solving | network model | network architecture | human computer interaction | networking hardware | operating systems | computer networking | communication | computer architecture | computer programming | cryptography | leadership and management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM Data Science,4.6,118900.0,"['big data', 'data model', 'database design', 'regression', 'cloud computing', 'machine learning', 'applied machine learning', 'databases', 'sql', 'writing', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'probability & statistics', 'exploratory data analysis', 'deep learning', 'data analysis', 'data mining', 'machine learning algorithms', 'plot (graphics)', 'algorithms', 'database theory', 'general statistics', 'r programming', 'statistical visualization', 'human learning', 'reinforcement learning', 'data science', 'computer programming', 'customer analysis', 'statistical machine learning', 'data visualization', 'data management', 'decision making', 'statistical programming']",coursera,1,78.21,big data | data model | database design | regression | cloud computing | machine learning | applied machine learning | databases | sql | writing | python programming | ibm cloud | computational thinking | database application | probability & statistics | exploratory data analysis | deep learning | data analysis | data mining | machine learning algorithms | plot (graphics) | algorithms | database theory | general statistics | r programming | statistical visualization | human learning | reinforcement learning | data science | computer programming | customer analysis | statistical machine learning | data visualization | data management | decision making | statistical programming,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Google UX Design,4.8,73700.0,"['user experience', 'product design', 'product development', 'user research', 'human computer interaction', 'user experience design', 'collaboration', 'audit', 'social media', 'web design', 'web development tools', 'planning']",coursera,1,78.21,user experience | product design | product development | user research | human computer interaction | user experience design | collaboration | audit | social media | web design | web development tools | planning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM Data Analyst,4.6,71500.0,"['data visualization software', 'database design', 'regression', 'cloud computing', 'machine learning', 'databases', 'interactive data visualization', 'nosql', 'sql', 'microsoft excel', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'probability & statistics', 'exploratory data analysis', 'data analysis', 'data mining', 'machine learning algorithms', 'plot (graphics)', 'business analysis', 'database theory', 'spreadsheet software', 'general statistics', 'r programming', 'statistical visualization', 'data science', 'computer programming', 'data visualization', 'data management', 'statistical programming']",coursera,1,78.21,data visualization software | database design | regression | cloud computing | machine learning | databases | interactive data visualization | nosql | sql | microsoft excel | python programming | ibm cloud | computational thinking | database application | probability & statistics | exploratory data analysis | data analysis | data mining | machine learning algorithms | plot (graphics) | business analysis | database theory | spreadsheet software | general statistics | r programming | statistical visualization | data science | computer programming | data visualization | data management | statistical programming,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Machine Learning,4.9,17700.0,"['machine learning', 'applied machine learning', 'network model', 'reinforcement learning', 'human learning', 'deep learning', 'critical thinking', 'tensorflow', 'artificial neural networks', 'mathematics', 'machine learning software', 'statistical machine learning', 'machine learning algorithms', 'python programming', 'regression', 'algorithms']",coursera,1,34.76,machine learning | applied machine learning | network model | reinforcement learning | human learning | deep learning | critical thinking | tensorflow | artificial neural networks | mathematics | machine learning software | statistical machine learning | machine learning algorithms | python programming | regression | algorithms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Data Science,4.6,85000.0,"['big data', 'data model', 'database design', 'regression', 'cloud computing', 'machine learning', 'databases', 'sql', 'writing', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'deep learning', 'data analysis', 'data mining', 'database theory', 'r programming', 'data science', 'computer programming', 'statistical machine learning', 'data management']",coursera,1,78.21,big data | data model | database design | regression | cloud computing | machine learning | databases | sql | writing | python programming | ibm cloud | computational thinking | database application | deep learning | data analysis | data mining | database theory | r programming | data science | computer programming | statistical machine learning | data management,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
