course_title,skills,rating,review_count,level,duration,skills_list,filtered_skills,Algorithms,Business Analysis,Cloud Computing,Communication,Computer Programming,Critical Thinking,Data Analysis,Data Management,Data Visualization,Databases,Decision Making,Entrepreneurship,Finance,General Statistics,Human Learning,Leadership and Management,Machine Learning,Machine Learning Algorithms,Marketing,Planning,Probability & Statistics,Problem Solving,Python Programming,Strategy,Strategy and Operations
Google Cybersecurity,"{"" Network Security"","" Python Programming"","" Linux"","" Cloud Computing"","" Algorithms"","" Audit"","" Computer Programming"","" Computer Security Incident Management"","" Cryptography"","" Databases"","" Leadership and Management"","" Network Architecture"","" Risk Management"","" SQL""}",4.8,16400.0,Beginner , 3 - 6 Months,"['Network Security', 'Python Programming', 'Linux', 'Cloud Computing', 'Algorithms', 'Audit', 'Computer Programming', 'Computer Security Incident Management', 'Cryptography', 'Databases', 'Leadership and Management', 'Network Architecture', 'Risk Management', 'SQL']","['Python Programming', 'Cloud Computing', 'Algorithms', 'Computer Programming', 'Databases', 'Leadership and Management']",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Google Data Analytics,"{"" Data Analysis"","" R Programming"","" SQL"","" Business Communication"","" Spreadsheet Software"","" Business Analysis"","" Data Visualization"","" Data Management"","" General Statistics"","" Big Data"","" Communication"","" Computer Programming"","" Data Science"","" Data Visualization Software"","" Databases"","" Exploratory Data Analysis"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Microsoft Excel"","" Problem Solving"","" Small Data"","" Statistical Programming"","" Tableau Software""}",4.8,133400.0,Beginner , 3 - 6 Months,"['Data Analysis', 'R Programming', 'SQL', 'Business Communication', 'Spreadsheet Software', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Big Data', 'Communication', 'Computer Programming', 'Data Science', 'Data Visualization Software', 'Databases', 'Exploratory Data Analysis', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Microsoft Excel', 'Problem Solving', 'Small Data', 'Statistical Programming', 'Tableau Software']","['Data Analysis', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Communication', 'Computer Programming', 'Databases', 'Leadership and Management', 'Problem Solving']",0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Google Project Management:,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Communication"","" Business Communication"","" Collaboration"","" Agile Software Development"","" Software Engineering"","" Entrepreneurship"","" Scrum (Software Development)"","" Planning"","" Supply Chain and Logistics"","" Change Management"","" Finance"","" Organizational Development"","" Product Management"","" Risk Management"","" Budget Management"","" Influencing"","" Culture"","" Emotional Intelligence"","" People Management"","" Problem Solving"","" Procurement""}",4.8,97300.0,Beginner , 3 - 6 Months,"['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Communication', 'Business Communication', 'Collaboration', 'Agile Software Development', 'Software Engineering', 'Entrepreneurship', 'Scrum (Software Development)', 'Planning', 'Supply Chain and Logistics', 'Change Management', 'Finance', 'Organizational Development', 'Product Management', 'Risk Management', 'Budget Management', 'Influencing', 'Culture', 'Emotional Intelligence', 'People Management', 'Problem Solving', 'Procurement']","['Strategy and Operations', 'Leadership and Management', 'Communication', 'Entrepreneurship', 'Planning', 'Finance', 'Problem Solving']",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,21400.0,Beginner , 3 - 6 Months,"['Digital Marketing', 'Marketing', 'Marketing Management', 'Media Strategy & Planning', 'Sales', 'E-Commerce', 'Data Analysis', 'Social Media', 'Search Engine Optimization', 'Advertising', 'Communication', 'Persona Research', 'Strategy', 'Web Design', 'Web Development', 'Web Development Tools', 'Writing', 'Data Management', 'Market Analysis']","['Marketing', 'Data Analysis', 'Communication', 'Strategy', 'Data Management']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,181400.0,Beginner , 3 - 6 Months,"['Computer Networking', 'Network Architecture', 'Network Model', 'Networking Hardware', 'Network Analysis', 'Computer Architecture', 'Critical Thinking', 'Problem Solving', 'Communication', 'Human Computer Interaction', 'Network Security', 'Linux', 'System Security', 'Cloud Computing', 'Computer Programming', 'Customer Support', 'Cryptography', 'Leadership and Management', 'Operating Systems']","['Critical Thinking', 'Problem Solving', 'Communication', 'Cloud Computing', 'Computer Programming', 'Leadership and Management']",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
IBM Data Science,"{"" Python Programming"","" Data Science"","" Machine Learning"","" Data Analysis"","" Data Visualization"","" Algorithms"","" Human Learning"","" Statistical Programming"","" Decision Making"","" Machine Learning Algorithms"","" Statistical Machine Learning"","" Statistical Visualization"","" Computational Thinking"","" Computer Programming"","" Data Management"","" Data Mining"","" Database Design"","" Exploratory Data Analysis"","" Plot (Graphics)"","" Applied Machine Learning"","" Customer Analysis"","" R Programming"","" Data Model"","" Database Application"","" Database Theory"","" Databases"","" Deep Learning"","" SQL"","" General Statistics"","" Probability & Statistics"","" Regression"","" Reinforcement Learning"","" Big Data"","" Cloud Computing"","" IBM Cloud"","" Writing""}",4.6,118900.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Science', 'Machine Learning', 'Data Analysis', 'Data Visualization', 'Algorithms', 'Human Learning', 'Statistical Programming', 'Decision Making', 'Machine Learning Algorithms', 'Statistical Machine Learning', 'Statistical Visualization', 'Computational Thinking', 'Computer Programming', 'Data Management', 'Data Mining', 'Database Design', 'Exploratory Data Analysis', 'Plot (Graphics)', 'Applied Machine Learning', 'Customer Analysis', 'R Programming', 'Data Model', 'Database Application', 'Database Theory', 'Databases', 'Deep Learning', 'SQL', 'General Statistics', 'Probability & Statistics', 'Regression', 'Reinforcement Learning', 'Big Data', 'Cloud Computing', 'IBM Cloud', 'Writing']","['Python Programming', 'Machine Learning', 'Data Analysis', 'Data Visualization', 'Algorithms', 'Human Learning', 'Decision Making', 'Machine Learning Algorithms', 'Computer Programming', 'Data Management', 'Databases', 'General Statistics', 'Probability & Statistics', 'Cloud Computing']",1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0
Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",4.8,73700.0,Beginner , 3 - 6 Months,"['User Experience', 'User Experience Design', 'User Research', 'Audit', 'Collaboration', 'Human Computer Interaction', 'Planning', 'Product Design', 'Product Development', 'Social Media', 'Web Design', 'Web Development Tools']",['Planning'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,71500.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Visualization', 'Microsoft Excel', 'Spreadsheet Software', 'Data Analysis', 'Statistical Visualization', 'Plot (Graphics)', 'Statistical Programming', 'Databases', 'SQL', 'Data Management', 'Exploratory Data Analysis', 'Machine Learning', 'Business Analysis', 'Computational Thinking', 'Computer Programming', 'Database Application', 'Database Design', 'Database Theory', 'Data Mining', 'Data Science', 'General Statistics', 'NoSQL', 'R Programming', 'Cloud Computing', 'Data Visualization Software', 'IBM Cloud', 'Interactive Data Visualization', 'Machine Learning Algorithms', 'Probability & Statistics', 'Regression']","['Python Programming', 'Data Visualization', 'Data Analysis', 'Databases', 'Data Management', 'Machine Learning', 'Business Analysis', 'Computer Programming', 'General Statistics', 'Cloud Computing', 'Machine Learning Algorithms', 'Probability & Statistics']",0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Deep Learning"","" Machine Learning Software"","" Artificial Neural Networks"","" Human Learning"","" Statistical Machine Learning"","" Python Programming"","" Regression"","" Mathematics"","" Tensorflow"","" Critical Thinking"","" Network Model"","" Reinforcement Learning""}",4.9,17700.0,Beginner , 1 - 3 Months,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Algorithms', 'Deep Learning', 'Machine Learning Software', 'Artificial Neural Networks', 'Human Learning', 'Statistical Machine Learning', 'Python Programming', 'Regression', 'Mathematics', 'Tensorflow', 'Critical Thinking', 'Network Model', 'Reinforcement Learning']","['Machine Learning', 'Machine Learning Algorithms', 'Algorithms', 'Human Learning', 'Python Programming', 'Critical Thinking']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Introduction to Data Science,"{"" Data Science"","" Python Programming"","" Data Analysis"","" Data Management"","" R Programming"","" Computational Thinking"","" Computer Programming"","" Data Mining"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Data Model"","" Machine Learning"","" Statistical Machine Learning"","" Big Data"","" Cloud Computing"","" Deep Learning"","" IBM Cloud"","" Regression"","" Writing""}",4.6,85000.0,Beginner , 3 - 6 Months,"['Data Science', 'Python Programming', 'Data Analysis', 'Data Management', 'R Programming', 'Computational Thinking', 'Computer Programming', 'Data Mining', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Data Model', 'Machine Learning', 'Statistical Machine Learning', 'Big Data', 'Cloud Computing', 'Deep Learning', 'IBM Cloud', 'Regression', 'Writing']","['Python Programming', 'Data Analysis', 'Data Management', 'Computer Programming', 'Databases', 'Machine Learning', 'Cloud Computing']",0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
