course_title,skills,rating,review_count,level,duration,skills_list,skills_text,filtered_skills,algorithms,business analysis,cloud computing,communication,computer programming,critical thinking,data analysis,data management,decision making,finance,human learning,leadership and management,machine learning,machine learning algorithms,marketing,planning,probability & statistics,problem solving,project management,python programming,risk management,sql,strategy,strategy and operations,writing
Google Cybersecurity,"{"" Network Security"","" Python Programming"","" Linux"","" Cloud Computing"","" Algorithms"","" Audit"","" Computer Programming"","" Computer Security Incident Management"","" Cryptography"","" Databases"","" Leadership and Management"","" Network Architecture"","" Risk Management"","" SQL""}",4.8,16400.0,Beginner , 3 - 6 Months,"['Network Security', 'Python Programming', 'Linux', 'Cloud Computing', 'Algorithms', 'Audit', 'Computer Programming', 'Computer Security Incident Management', 'Cryptography', 'Databases', 'Leadership and Management', 'Network Architecture', 'Risk Management', 'SQL']",network security | python programming | linux | cloud computing | algorithms | audit | computer programming | computer security incident management | cryptography | databases | leadership and management | network architecture | risk management | sql,"['python programming', 'cloud computing', 'algorithms', 'computer programming', 'leadership and management', 'risk management', 'sql']",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Google Data Analytics,"{"" Data Analysis"","" R Programming"","" SQL"","" Business Communication"","" Spreadsheet Software"","" Business Analysis"","" Data Visualization"","" Data Management"","" General Statistics"","" Big Data"","" Communication"","" Computer Programming"","" Data Science"","" Data Visualization Software"","" Databases"","" Exploratory Data Analysis"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Microsoft Excel"","" Problem Solving"","" Small Data"","" Statistical Programming"","" Tableau Software""}",4.8,133400.0,Beginner , 3 - 6 Months,"['Data Analysis', 'R Programming', 'SQL', 'Business Communication', 'Spreadsheet Software', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Big Data', 'Communication', 'Computer Programming', 'Data Science', 'Data Visualization Software', 'Databases', 'Exploratory Data Analysis', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Microsoft Excel', 'Problem Solving', 'Small Data', 'Statistical Programming', 'Tableau Software']",data analysis | r programming | sql | business communication | spreadsheet software | business analysis | data visualization | data management | general statistics | big data | communication | computer programming | data science | data visualization software | databases | exploratory data analysis | extract | transform | load | leadership and management | microsoft excel | problem solving | small data | statistical programming | tableau software,"['data analysis', 'sql', 'business analysis', 'data management', 'communication', 'computer programming', 'leadership and management', 'problem solving']",0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Google Project Management:,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Communication"","" Business Communication"","" Collaboration"","" Agile Software Development"","" Software Engineering"","" Entrepreneurship"","" Scrum (Software Development)"","" Planning"","" Supply Chain and Logistics"","" Change Management"","" Finance"","" Organizational Development"","" Product Management"","" Risk Management"","" Budget Management"","" Influencing"","" Culture"","" Emotional Intelligence"","" People Management"","" Problem Solving"","" Procurement""}",4.8,97300.0,Beginner , 3 - 6 Months,"['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Communication', 'Business Communication', 'Collaboration', 'Agile Software Development', 'Software Engineering', 'Entrepreneurship', 'Scrum (Software Development)', 'Planning', 'Supply Chain and Logistics', 'Change Management', 'Finance', 'Organizational Development', 'Product Management', 'Risk Management', 'Budget Management', 'Influencing', 'Culture', 'Emotional Intelligence', 'People Management', 'Problem Solving', 'Procurement']",project management | strategy and operations | leadership and management | communication | business communication | collaboration | agile software development | software engineering | entrepreneurship | scrum (software development) | planning | supply chain and logistics | change management | finance | organizational development | product management | risk management | budget management | influencing | culture | emotional intelligence | people management | problem solving | procurement,"['project management', 'strategy and operations', 'leadership and management', 'communication', 'planning', 'finance', 'risk management', 'problem solving']",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,21400.0,Beginner , 3 - 6 Months,"['Digital Marketing', 'Marketing', 'Marketing Management', 'Media Strategy & Planning', 'Sales', 'E-Commerce', 'Data Analysis', 'Social Media', 'Search Engine Optimization', 'Advertising', 'Communication', 'Persona Research', 'Strategy', 'Web Design', 'Web Development', 'Web Development Tools', 'Writing', 'Data Management', 'Market Analysis']",digital marketing | marketing | marketing management | media strategy & planning | sales | e-commerce | data analysis | social media | search engine optimization | advertising | communication | persona research | strategy | web design | web development | web development tools | writing | data management | market analysis,"['marketing', 'data analysis', 'communication', 'strategy', 'writing', 'data management']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,181400.0,Beginner , 3 - 6 Months,"['Computer Networking', 'Network Architecture', 'Network Model', 'Networking Hardware', 'Network Analysis', 'Computer Architecture', 'Critical Thinking', 'Problem Solving', 'Communication', 'Human Computer Interaction', 'Network Security', 'Linux', 'System Security', 'Cloud Computing', 'Computer Programming', 'Customer Support', 'Cryptography', 'Leadership and Management', 'Operating Systems']",computer networking | network architecture | network model | networking hardware | network analysis | computer architecture | critical thinking | problem solving | communication | human computer interaction | network security | linux | system security | cloud computing | computer programming | customer support | cryptography | leadership and management | operating systems,"['critical thinking', 'problem solving', 'communication', 'cloud computing', 'computer programming', 'leadership and management']",0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
IBM Data Science,"{"" Python Programming"","" Data Science"","" Machine Learning"","" Data Analysis"","" Data Visualization"","" Algorithms"","" Human Learning"","" Statistical Programming"","" Decision Making"","" Machine Learning Algorithms"","" Statistical Machine Learning"","" Statistical Visualization"","" Computational Thinking"","" Computer Programming"","" Data Management"","" Data Mining"","" Database Design"","" Exploratory Data Analysis"","" Plot (Graphics)"","" Applied Machine Learning"","" Customer Analysis"","" R Programming"","" Data Model"","" Database Application"","" Database Theory"","" Databases"","" Deep Learning"","" SQL"","" General Statistics"","" Probability & Statistics"","" Regression"","" Reinforcement Learning"","" Big Data"","" Cloud Computing"","" IBM Cloud"","" Writing""}",4.6,118900.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Science', 'Machine Learning', 'Data Analysis', 'Data Visualization', 'Algorithms', 'Human Learning', 'Statistical Programming', 'Decision Making', 'Machine Learning Algorithms', 'Statistical Machine Learning', 'Statistical Visualization', 'Computational Thinking', 'Computer Programming', 'Data Management', 'Data Mining', 'Database Design', 'Exploratory Data Analysis', 'Plot (Graphics)', 'Applied Machine Learning', 'Customer Analysis', 'R Programming', 'Data Model', 'Database Application', 'Database Theory', 'Databases', 'Deep Learning', 'SQL', 'General Statistics', 'Probability & Statistics', 'Regression', 'Reinforcement Learning', 'Big Data', 'Cloud Computing', 'IBM Cloud', 'Writing']",python programming | data science | machine learning | data analysis | data visualization | algorithms | human learning | statistical programming | decision making | machine learning algorithms | statistical machine learning | statistical visualization | computational thinking | computer programming | data management | data mining | database design | exploratory data analysis | plot (graphics) | applied machine learning | customer analysis | r programming | data model | database application | database theory | databases | deep learning | sql | general statistics | probability & statistics | regression | reinforcement learning | big data | cloud computing | ibm cloud | writing,"['python programming', 'machine learning', 'data analysis', 'algorithms', 'human learning', 'decision making', 'machine learning algorithms', 'computer programming', 'data management', 'sql', 'probability & statistics', 'cloud computing', 'writing']",1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1
Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",4.8,73700.0,Beginner , 3 - 6 Months,"['User Experience', 'User Experience Design', 'User Research', 'Audit', 'Collaboration', 'Human Computer Interaction', 'Planning', 'Product Design', 'Product Development', 'Social Media', 'Web Design', 'Web Development Tools']",user experience | user experience design | user research | audit | collaboration | human computer interaction | planning | product design | product development | social media | web design | web development tools,['planning'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,71500.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Visualization', 'Microsoft Excel', 'Spreadsheet Software', 'Data Analysis', 'Statistical Visualization', 'Plot (Graphics)', 'Statistical Programming', 'Databases', 'SQL', 'Data Management', 'Exploratory Data Analysis', 'Machine Learning', 'Business Analysis', 'Computational Thinking', 'Computer Programming', 'Database Application', 'Database Design', 'Database Theory', 'Data Mining', 'Data Science', 'General Statistics', 'NoSQL', 'R Programming', 'Cloud Computing', 'Data Visualization Software', 'IBM Cloud', 'Interactive Data Visualization', 'Machine Learning Algorithms', 'Probability & Statistics', 'Regression']",python programming | data visualization | microsoft excel | spreadsheet software | data analysis | statistical visualization | plot (graphics) | statistical programming | databases | sql | data management | exploratory data analysis | machine learning | business analysis | computational thinking | computer programming | database application | database design | database theory | data mining | data science | general statistics | nosql | r programming | cloud computing | data visualization software | ibm cloud | interactive data visualization | machine learning algorithms | probability & statistics | regression,"['python programming', 'data analysis', 'sql', 'data management', 'machine learning', 'business analysis', 'computer programming', 'cloud computing', 'machine learning algorithms', 'probability & statistics']",0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Deep Learning"","" Machine Learning Software"","" Artificial Neural Networks"","" Human Learning"","" Statistical Machine Learning"","" Python Programming"","" Regression"","" Mathematics"","" Tensorflow"","" Critical Thinking"","" Network Model"","" Reinforcement Learning""}",4.9,17700.0,Beginner , 1 - 3 Months,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Algorithms', 'Deep Learning', 'Machine Learning Software', 'Artificial Neural Networks', 'Human Learning', 'Statistical Machine Learning', 'Python Programming', 'Regression', 'Mathematics', 'Tensorflow', 'Critical Thinking', 'Network Model', 'Reinforcement Learning']",machine learning | machine learning algorithms | applied machine learning | algorithms | deep learning | machine learning software | artificial neural networks | human learning | statistical machine learning | python programming | regression | mathematics | tensorflow | critical thinking | network model | reinforcement learning,"['machine learning', 'machine learning algorithms', 'algorithms', 'human learning', 'python programming', 'critical thinking']",1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Introduction to Data Science,"{"" Data Science"","" Python Programming"","" Data Analysis"","" Data Management"","" R Programming"","" Computational Thinking"","" Computer Programming"","" Data Mining"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Data Model"","" Machine Learning"","" Statistical Machine Learning"","" Big Data"","" Cloud Computing"","" Deep Learning"","" IBM Cloud"","" Regression"","" Writing""}",4.6,85000.0,Beginner , 3 - 6 Months,"['Data Science', 'Python Programming', 'Data Analysis', 'Data Management', 'R Programming', 'Computational Thinking', 'Computer Programming', 'Data Mining', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Data Model', 'Machine Learning', 'Statistical Machine Learning', 'Big Data', 'Cloud Computing', 'Deep Learning', 'IBM Cloud', 'Regression', 'Writing']",data science | python programming | data analysis | data management | r programming | computational thinking | computer programming | data mining | database application | database design | database theory | databases | sql | data model | machine learning | statistical machine learning | big data | cloud computing | deep learning | ibm cloud | regression | writing,"['python programming', 'data analysis', 'data management', 'computer programming', 'sql', 'machine learning', 'cloud computing', 'writing']",0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
