course_title,rating,review_count,skills_list,platform,level,duration,filtered_representative_skills,skill__['strategy and operations',skill__['aws',skill__['system programming',skill__['user experience design',skill__'google cloud platform'],skill__'risk management',skill__'computer science',skill__'sales',skill__'customer relationship management',skill__'entrepreneurial finance'],skill__'interactive data visualization',skill__'bayesian network',skill__['salesforce'],skill__'continuous delivery',skill__'linear algebra',skill__['database application',skill__['machine learning',skill__['javascript'],skill__'docker'],skill__'social media',skill__['people development',skill__'fintech',skill__'cloud-based integration',skill__'data analysis',skill__'computer graphics',skill__'planning',skill__'security strategy',skill__['software testing',skill__'benefits',skill__'finance',skill__'conflict management',skill__'leadership and management'],skill__['html and css',skill__'advertising',skill__'creativity',skill__'business intelligence',skill__'system software'],skill__'other web frameworks',skill__'network architecture',skill__'video'],skill__['financial management',skill__'microsoft excel'],skill__'virtual reality'],skill__['blockchain',skill__'computational logic',skill__'sap'],skill__'compensation',skill__'innovation',skill__'microsoft azure',skill__['wordpress',skill__'extract',skill__'amazon web services'],skill__'django'],skill__['emotional intelligence',skill__['resilience'],skill__'plot (graphics)',skill__'data management',skill__'application development'],skill__'jira',skill__'market analysis'],skill__['computer security incident management'],skill__'employee relations',skill__'google app engine',skill__['audit',skill__'mergers & acquisitions',skill__'material handling',skill__'graph theory',skill__'computational logic'],skill__'php programming',skill__'billing & invoicing',skill__['internet of things',skill__'power bi'],skill__'accounts payable and receivable',skill__'linux',skill__'software engineering',skill__'kubernetes',skill__'critical thinking',skill__'clinical data management',skill__'payments',skill__['scrum',skill__'securities trading',skill__'human factors'],skill__'business communication',skill__'ibm cloud',skill__'human learning',skill__'basic descriptive statistics'],skill__'problem solving',skill__['b2b sales'],skill__'corporate accouting'],skill__['small data'],skill__['conflict management'],skill__'applied machine learning',skill__['website'],skill__'devops',skill__'financial accounting',skill__'statistical machine learning',skill__'inventory management',skill__'training',skill__'scala programming'],skill__'dimensionality reduction',skill__'b2b sales',skill__'strategy',skill__['regulations and compliance',skill__'agile software development'],skill__'computer security incident management',skill__'behavioral economics',skill__'customer analysis',skill__'digital marketing',skill__'transform',skill__'scientific visualization',skill__['3d',skill__'regulations and compliance',skill__'generally accepted accounting principles (gaap)',skill__'account management',skill__['computational thinking',skill__'information technology',skill__['writing'],skill__['cloud engineering',skill__'react (web framework)',skill__['customer success',skill__'product strategy',skill__'talent management',skill__'python programming',skill__'cash management',skill__'database administration',skill__'data architecture',skill__'media strategy & planning'],skill__'project management',skill__'website'],skill__['cloud-based integration',skill__'computer security incident management'],skill__['risk management'],skill__['amazon web services'],skill__'sas',skill__'continuous integration',skill__['sales systems',skill__['virtual reality'],skill__'systems design',skill__'correlation and dependence',skill__'human resources operations',skill__'c programming language family'],skill__'docker (software)',skill__'supply chain systems',skill__['health'],skill__'storytelling'],skill__'hr tech'],skill__['scala programming'],skill__'budget management',skill__'web design',skill__['survey creation',has_rep
Google Cybersecurity,4.8,16400.0,"[""['databases'"", ""'network architecture'"", ""'risk management'"", ""'computer security incident management'"", ""'audit'"", ""'network security'"", ""'sql'"", ""'computer programming'"", ""'cryptography'"", ""'linux'"", ""'python programming'"", ""'algorithms'"", ""'cloud computing'"", ""'leadership and management']""]",coursera,1,78.21,"[""'network architecture'"", ""'risk management'"", ""'computer security incident management'"", ""'linux'"", ""'python programming'"", ""'leadership and management']""]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Google Data Analytics,4.8,133400.0,"[""['data visualization software'"", ""'small data'"", ""'big data'"", ""'databases'"", ""'transform'"", ""'load'"", ""'sql'"", ""'microsoft excel'"", ""'problem solving'"", ""'exploratory data analysis'"", ""'tableau software'"", ""'business communication'"", ""'data analysis'"", ""'business analysis'"", ""'extract'"", ""'spreadsheet software'"", ""'general statistics'"", ""'r programming'"", ""'communication'"", ""'data science'"", ""'computer programming'"", ""'data visualization'"", ""'data management'"", ""'leadership and management'"", ""'statistical programming']""]",coursera,1,78.21,"[""'transform'"", ""'problem solving'"", ""'business communication'"", ""'data analysis'"", ""'extract'"", ""'data management'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Google Project Management:,4.8,97300.0,"[""['risk management'"", ""'influencing'"", ""'change management'"", ""'collaboration'"", ""'planning'"", ""'emotional intelligence'"", ""'budget management'"", ""'problem solving'"", ""'finance'"", ""'business communication'"", ""'procurement'"", ""'software engineering'"", ""'culture'"", ""'project management'"", ""'strategy and operations'"", ""'organizational development'"", ""'product management'"", ""'scrum (software development)'"", ""'entrepreneurship'"", ""'agile software development'"", ""'communication'"", ""'people management'"", ""'supply chain and logistics'"", ""'leadership and management']""]",coursera,1,78.21,"[""'planning'"", ""'budget management'"", ""'problem solving'"", ""'finance'"", ""'business communication'"", ""'software engineering'"", ""'project management'"", ""'leadership and management']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
Google Digital Marketing & E-commerce,4.8,21400.0,"[""['social media'"", ""'media strategy & planning'"", ""'web development'"", ""'web design'"", ""'writing'"", ""'marketing management'"", ""'search engine optimization'"", ""'advertising'"", ""'digital marketing'"", ""'data analysis'"", ""'persona research'"", ""'sales'"", ""'marketing'"", ""'e-commerce'"", ""'communication'"", ""'web development tools'"", ""'strategy'"", ""'data management'"", ""'market analysis']""]",coursera,1,78.21,"[""'web design'"", ""'advertising'"", ""'digital marketing'"", ""'data analysis'"", ""'sales'"", ""'strategy'"", ""'data management'"", ""'market analysis']""]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True
Google IT Support,4.8,181400.0,"[""['network security'"", ""'network analysis'"", ""'cloud computing'"", ""'critical thinking'"", ""'linux'"", ""'system security'"", ""'customer support'"", ""'problem solving'"", ""'network model'"", ""'network architecture'"", ""'human computer interaction'"", ""'networking hardware'"", ""'operating systems'"", ""'computer networking'"", ""'communication'"", ""'computer architecture'"", ""'computer programming'"", ""'cryptography'"", ""'leadership and management']""]",coursera,1,78.21,"[""'critical thinking'"", ""'linux'"", ""'problem solving'"", ""'network architecture'"", ""'leadership and management']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
IBM Data Science,4.6,118900.0,"[""['big data'"", ""'data model'"", ""'database design'"", ""'regression'"", ""'cloud computing'"", ""'machine learning'"", ""'applied machine learning'"", ""'databases'"", ""'sql'"", ""'writing'"", ""'python programming'"", ""'ibm cloud'"", ""'computational thinking'"", ""'database application'"", ""'probability & statistics'"", ""'exploratory data analysis'"", ""'deep learning'"", ""'data analysis'"", ""'data mining'"", ""'machine learning algorithms'"", ""'plot (graphics)'"", ""'algorithms'"", ""'database theory'"", ""'general statistics'"", ""'r programming'"", ""'statistical visualization'"", ""'human learning'"", ""'reinforcement learning'"", ""'data science'"", ""'computer programming'"", ""'customer analysis'"", ""'statistical machine learning'"", ""'data visualization'"", ""'data management'"", ""'decision making'"", ""'statistical programming']""]",coursera,1,78.21,"[""'applied machine learning'"", ""'python programming'"", ""'ibm cloud'"", ""'data analysis'"", ""'plot (graphics)'"", ""'human learning'"", ""'customer analysis'"", ""'statistical machine learning'"", ""'data management'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Google UX Design,4.8,73700.0,"[""['user experience'"", ""'product design'"", ""'product development'"", ""'user research'"", ""'human computer interaction'"", ""'user experience design'"", ""'collaboration'"", ""'audit'"", ""'social media'"", ""'web design'"", ""'web development tools'"", ""'planning']""]",coursera,1,78.21,"[""'social media'"", ""'web design'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True
IBM Data Analyst,4.6,71500.0,"[""['data visualization software'"", ""'database design'"", ""'regression'"", ""'cloud computing'"", ""'machine learning'"", ""'databases'"", ""'interactive data visualization'"", ""'nosql'"", ""'sql'"", ""'microsoft excel'"", ""'python programming'"", ""'ibm cloud'"", ""'computational thinking'"", ""'database application'"", ""'probability & statistics'"", ""'exploratory data analysis'"", ""'data analysis'"", ""'data mining'"", ""'machine learning algorithms'"", ""'plot (graphics)'"", ""'business analysis'"", ""'database theory'"", ""'spreadsheet software'"", ""'general statistics'"", ""'r programming'"", ""'statistical visualization'"", ""'data science'"", ""'computer programming'"", ""'data visualization'"", ""'data management'"", ""'statistical programming']""]",coursera,1,78.21,"[""'interactive data visualization'"", ""'python programming'"", ""'ibm cloud'"", ""'data analysis'"", ""'plot (graphics)'"", ""'data management'""]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Machine Learning,4.9,17700.0,"[""['machine learning'"", ""'applied machine learning'"", ""'network model'"", ""'reinforcement learning'"", ""'human learning'"", ""'deep learning'"", ""'critical thinking'"", ""'tensorflow'"", ""'artificial neural networks'"", ""'mathematics'"", ""'machine learning software'"", ""'statistical machine learning'"", ""'machine learning algorithms'"", ""'python programming'"", ""'regression'"", ""'algorithms']""]",coursera,1,34.76,"[""['machine learning'"", ""'applied machine learning'"", ""'human learning'"", ""'critical thinking'"", ""'statistical machine learning'"", ""'python programming'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Introduction to Data Science,4.6,85000.0,"[""['big data'"", ""'data model'"", ""'database design'"", ""'regression'"", ""'cloud computing'"", ""'machine learning'"", ""'databases'"", ""'sql'"", ""'writing'"", ""'python programming'"", ""'ibm cloud'"", ""'computational thinking'"", ""'database application'"", ""'deep learning'"", ""'data analysis'"", ""'data mining'"", ""'database theory'"", ""'r programming'"", ""'data science'"", ""'computer programming'"", ""'statistical machine learning'"", ""'data management']""]",coursera,1,78.21,"[""'python programming'"", ""'ibm cloud'"", ""'data analysis'"", ""'statistical machine learning'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
