cluster,representative,rep_freq,closest_skill,cluster_size
0,['strategy and operations',280,['operational analysis',10
1,['aws',155,['aws'],4
2,['system programming',427,['c++ programming'],38
3,['user experience design',340,['user experience'],7
4,'google cloud platform'],274,['cloud platforms',38
5,'risk management',125,'risk management'],2
6,'computer science',306,['theoretical computer science'],10
7,'sales',45,'retail sales'],15
8,'customer relationship management',107,['supplier relationship management',5
9,'entrepreneurial finance'],190,['entrepreneurship'],8
10,'interactive data visualization',87,'data visualization'],13
11,'bayesian network',157,['probability distribution'],15
12,['salesforce'],54,['salesforce'],4
13,'continuous delivery',61,['continuous delivery',8
14,'linear algebra',32,['linear algebra'],7
15,['database application',616,'databases'],21
16,['machine learning',529,['machine learning algorithms',33
17,['javascript'],203,'web development'],16
18,'docker'],143,['docker'],4
19,'social media',145,['public relations',15
20,['people development',146,['organizational development'],10
21,'fintech',21,'fintech'],4
22,'cloud-based integration',86,'cloud-based integration'],2
23,'data analysis',232,['exploratory data analysis'],10
24,'computer graphics',46,'computer graphics'],9
25,'planning',105,['planning'],4
26,'security strategy',378,'system security'],17
27,['software testing',130,['software testing'],4
28,'benefits',21,['benefits'],4
29,'finance',219,['banking'],7
30,'conflict management',29,'conflict management'],2
31,'leadership and management'],285,['product management',37
32,['html and css',195,'html and css'],4
33,'advertising',39,'advertising'],6
34,'creativity',35,'creativity'],4
35,'business intelligence',201,'spatial analysis'],43
36,'system software'],232,['system software',11
37,'other web frameworks',109,'other web frameworks'],4
38,'network architecture',244,['network architecture',23
39,'video'],151,['video'],8
40,['financial management',414,['investment management'],5
41,'microsoft excel'],866,['spreadsheet software'],13
42,'virtual reality'],76,'virtual reality'],2
43,['blockchain',55,['blockchain'],10
44,'computational logic',41,'computational logic',1
45,'sap'],151,['sap'],4
46,'compensation',7,'compensation'],4
47,'innovation',55,['innovation'],10
48,'microsoft azure',431,'microsoft azure'],4
49,['wordpress',99,['wordpress'],8
50,'extract',33,'extract'],3
51,'amazon web services'],148,'amazon web services'],2
52,'django'],83,'django'],5
53,['emotional intelligence',193,['emotional intelligence'],3
54,['resilience'],10,'resilience'],4
55,'plot (graphics)',34,['plot (graphics)',7
56,'data management',88,'data management'],7
57,'application development'],256,['android development'],18
58,'jira',18,'jira'],5
59,'market analysis'],430,['market analysis',8
60,['computer security incident management'],2,['computer security incident management'],2
61,'employee relations',46,'employee relations'],4
62,'google app engine',594,'google app engine'],4
63,['audit',39,['audit'],4
64,'mergers & acquisitions',17,'mergers & acquisitions'],4
65,'material handling',40,'material handling'],4
66,'graph theory',25,'graph theory'],4
67,'computational logic'],4,'computational logic'],1
68,'php programming',123,'php programming'],4
69,'billing & invoicing',7,'billing & invoicing'],4
70,['internet of things',1981,['internet of things',4
71,'power bi'],193,['angular',19
