course_title,rating,review_count,skills_list,platform,level,duration
The Complete Python Bootcamp From Zero to Hero in Python,4.6,486391,['python programming'],udemy,0,22.0
The Complete 2023 Web Development Bootcamp,4.7,338555,"['javascript', 'html and css', 'react', 'postgresql']",udemy,0,63.0
The Web Developer Bootcamp 2023,4.7,266527,"['javascript', 'html and css', 'react', 'internet of things']",udemy,0,74.0
100 Days of Code: The Complete Python Pro Bootcamp for 2023,4.7,251585,"['python programming', 'data science', 'theoretical computer science', 'computer science']",udemy,0,58.0
React - The Complete Guide 2023 (incl. React Router & Redux),4.6,199663,['react'],udemy,0,74.5
Angular - The Complete Guide (2023 Edition),4.6,193878,"['internet of things', 'angular']",udemy,0,36.5
The Complete JavaScript Course 2024: From Zero to Expert!,4.7,192915,['javascript'],udemy,0,68.5
Java 17 Masterclass: Start Coding in 2023,4.6,190038,['java programming'],udemy,0,134.5
"Machine Learning A-Z™: AI, Python & R + ChatGPT Bonus [2023]",4.5,177623,"['python programming', 'machine learning', 'algorithms', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'r programming', 'computer science']",udemy,0,42.5
Python for Data Science and Machine Learning Bootcamp,4.6,137291,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'statistical machine learning', 'tensorflow']",udemy,0,25.0
The Data Science Course: Complete Data Science Bootcamp 2023,4.6,132292,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'mathematics', 'deep learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'computer science', 'applied mathematics']",udemy,0,32.0
Selenium WebDriver with Java -Basics to Advanced+Frameworks,4.6,108684,"['collaboration', 'java programming']",udemy,0,55.0
Complete C# Unity Game Developer 2D,4.7,101591,"['c# programming', 'video']",udemy,0,18.5
Build Responsive Real-World Websites with HTML and CSS,4.7,101374,"['html and css', 'website']",udemy,0,37.5
Learn Python Programming Masterclass,4.6,100640,"['python programming', 'natural language processing', 'c programming language family']",udemy,0,74.5
iOS & Swift - The Complete iOS App Development Bootcamp,4.8,88100,"['google app engine', 'ios development']",udemy,0,60.5
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,4.7,87369,"['databases', 'sql']",udemy,1,37.5
Modern React with Redux [2023 Update],4.7,84940,"['react', 'internet of things']",udemy,0,37.5
The Complete Web Developer Course 3.0,4.5,71768,"['python programming', 'javascript', 'html and css', 'website', 'php programming']",udemy,0,31.0
Flutter & Dart - The Complete Guide [2023 Edition],4.6,69989,"['ios development', 'android development']",udemy,0,30.0
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,4.7,67330,"['decision making', 'collaboration', 'c++ programming', 'video']",udemy,0,29.5
C# Basics for Beginners: Learn C# Fundamentals by Coding,4.5,66738,['c# programming'],udemy,1,5.5
Beginning C++ Programming - From Beginner to Beyond,4.6,64965,['c++ programming'],udemy,0,46.0
"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",4.7,64444,"['python programming', 'internet of things']",udemy,0,52.0
The Complete Web Developer in 2023: Zero to Mastery,4.6,63250,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'statistical machine learning', 'javascript', 'html and css', 'react']",udemy,0,39.5
Vue - The Complete Guide (incl. Router & Composition API),4.7,61298,"['javascript', 'react', 'internet of things', 'angular']",udemy,0,32.0
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,4.7,60744,"['devops', 'kubernetes', 'docker', 'devops tools']",udemy,0,21.5
Docker and Kubernetes: The Complete Guide,4.7,56482,"['kubernetes', 'docker', 'media production']",udemy,0,22.0
Complete Python Developer in 2023: Zero to Mastery,4.6,52660,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'statistical machine learning']",udemy,0,31.0
R Programming A-Z™: R For Data Science With Real Exercises!,4.7,52161,"['data science', 'theoretical computer science', 'r programming', 'computer science']",udemy,0,10.5
The Complete Flutter Development Bootcamp with Dart,4.5,51516,"['collaboration', 'google cloud platform', 'google app engine']",udemy,0,29.0
The Python Bible™ | Everything You Need to Program in Python,4.6,49269,['python programming'],udemy,1,9.0
Python and Django Full Stack Web Developer Bootcamp,4.4,48787,"['python programming', 'javascript', 'html and css', 'django']",udemy,0,32.0
SQL for Beginners: Learn SQL using MySQL and Database Design,4.5,48694,"['sql', 'database design', 'database application', 'database theory', 'database administration']",udemy,1,8.5
Master Microservices with Spring Boot and Spring Cloud,4.6,48222,"['kubernetes', 'cloud api', 'java programming', 'amazon web services', 'docker']",udemy,0,24.5
JavaScript: Understanding the Weird Parts,4.8,47505,['javascript'],udemy,0,12.0
Understanding TypeScript,4.7,46849,"['javascript', 'react']",udemy,0,15.0
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",4.6,44727,['sql'],udemy,0,40.5
"Deep Learning A-Z™ 2023: Neural Networks, AI & ChatGPT Bonus",4.5,44534,"['python programming', 'machine learning', 'algorithms', 'machine learning algorithms', 'applied machine learning', 'deep learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'computer science']",udemy,0,23.0
The Complete React Native + Hooks Course,4.6,43823,['react'],udemy,0,38.5
Mastering Data Structures & Algorithms using C and C++,4.6,43520,['c programming language family'],udemy,0,58.5
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",4.7,42509,"['html and css', 'internet of things']",udemy,2,28.0
